"filename", "language", "JSON", "Properties", "JavaScript", "Markdown", "PostCSS", "JavaScript JSX", "XML", "HTML", "comment", "blank", "total"
"d:\Developer\Web Developement\Anime Alley\client\.env", "Properties", 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 3
"d:\Developer\Web Developement\Anime Alley\client\README.md", "Markdown", 0, 0, 0, 5, 0, 0, 0, 0, 0, 4, 9
"d:\Developer\Web Developement\Anime Alley\client\eslint.config.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 2, 39
"d:\Developer\Web Developement\Anime Alley\client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"d:\Developer\Web Developement\Anime Alley\client\package-lock.json", "JSON", 5611, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5612
"d:\Developer\Web Developement\Anime Alley\client\package.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"d:\Developer\Web Developement\Anime Alley\client\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Developer\Web Developement\Anime Alley\client\src\App.css", "PostCSS", 0, 0, 0, 0, 11, 0, 0, 0, 4, 2, 17
"d:\Developer\Web Developement\Anime Alley\client\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 71, 0, 0, 1, 3, 75
"d:\Developer\Web Developement\Anime Alley\client\src\Hooks\UseAuth.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 9, 6, 25
"d:\Developer\Web Developement\Anime Alley\client\src\api\api.js", "JavaScript", 0, 0, 141, 0, 0, 0, 0, 0, 3, 23, 167
"d:\Developer\Web Developement\Anime Alley\client\src\assets\asset.js", "JavaScript", 0, 0, 73, 0, 0, 0, 0, 0, 0, 2, 75
"d:\Developer\Web Developement\Anime Alley\client\src\assets\img\Dashboard\coupons.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"d:\Developer\Web Developement\Anime Alley\client\src\assets\img\Dashboard\cross.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 14
"d:\Developer\Web Developement\Anime Alley\client\src\assets\img\Dashboard\deleteIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 24
"d:\Developer\Web Developement\Anime Alley\client\src\assets\img\Dashboard\edit.svg", "XML", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 23
"d:\Developer\Web Developement\Anime Alley\client\src\assets\img\Dashboard\file.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 14
"d:\Developer\Web Developement\Anime Alley\client\src\assets\img\Dashboard\orders.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"d:\Developer\Web Developement\Anime Alley\client\src\assets\img\Dashboard\plus.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Developer\Web Developement\Anime Alley\client\src\assets\img\Dashboard\product.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"d:\Developer\Web Developement\Anime Alley\client\src\assets\img\Dashboard\users.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"d:\Developer\Web Developement\Anime Alley\client\src\assets\img\SignUpPics\google.svg", "XML", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 23
"d:\Developer\Web Developement\Anime Alley\client\src\assets\img\search.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Developer\Web Developement\Anime Alley\client\src\assets\img\shopPics\funnel.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"d:\Developer\Web Developement\Anime Alley\client\src\assets\img\shopPics\next.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"d:\Developer\Web Developement\Anime Alley\client\src\assets\img\shopPics\prev.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"d:\Developer\Web Developement\Anime Alley\client\src\components\Dashboard\Dashbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 55, 0, 0, 6, 6, 67
"d:\Developer\Web Developement\Anime Alley\client\src\components\Dashboard\Dashbar\Coupons\Coupons.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 333, 0, 0, 4, 17, 354
"d:\Developer\Web Developement\Anime Alley\client\src\components\Dashboard\Dashbar\Coupons\CreateCoupon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 111, 0, 0, 0, 6, 117
